variant,scaling_type,threads,executed_threads,data_size,total_size,iterations,avg_time_millis
jvm-local,weak,1,1,1024,,5,74.576
jvm-local,weak,2,2,2048,,5,72.79
jvm-local,weak,4,4,4096,,5,78.512
jvm-local,weak,8,8,8192,,5,85.585
jvm-local,weak,16,16,16384,,5,117.038
jvm-local,weak,32,32,32768,,5,164.128
jvm-local,strong,1,1,,1024,5,66.337
jvm-local,strong,2,2,,1024,5,60.079
jvm-local,strong,4,4,,1024,5,53.246
jvm-local,strong,8,8,,1024,5,60.796
jvm-local,strong,16,16,,1024,5,98.371
jvm-local,strong,32,32,,1024,5,99.082
jvm-gramine,weak,1,1,1024,,5,307.567
jvm-gramine,weak,2,2,2048,,5,290.112
jvm-gramine,weak,4,4,4096,,5,439.572
jvm-gramine,weak,8,8,8192,,5,1014.851
jvm-gramine,weak,16,16,16384,,5,2269.809
jvm-gramine,weak,32,32,32768,,5,8889.863
jvm-gramine,strong,1,1,,1024,5,506.235
jvm-gramine,strong,2,2,,1024,5,424.893
jvm-gramine,strong,4,4,,1024,5,406.048
jvm-gramine,strong,8,8,,1024,5,430.36
jvm-gramine,strong,16,16,,1024,5,478.82
jvm-gramine,strong,32,32,,1024,5,533.454
native-dynamic,weak,1,1,1024,,5,106.659
native-dynamic,weak,2,2,2048,,5,107.402
native-dynamic,weak,4,4,4096,,5,120.705
native-dynamic,weak,8,8,8192,,5,130.028
native-dynamic,weak,16,16,16384,,5,243.173
native-dynamic,weak,32,32,32768,,5,462.687
native-dynamic,strong,1,1,,1024,5,106.277
native-dynamic,strong,2,2,,1024,5,87.098
native-dynamic,strong,4,4,,1024,5,73.305
native-dynamic,strong,8,8,,1024,5,79.192
native-dynamic,strong,16,16,,1024,5,99.856
native-dynamic,strong,32,32,,1024,5,100.55
native-static,weak,1,1,1024,,5,144.219
native-static,weak,2,2,2048,,5,151.257
native-static,weak,4,4,4096,,5,157.256
native-static,weak,8,8,8192,,5,183.112
native-static,weak,16,16,16384,,5,285.855
native-static,weak,32,32,32768,,5,546.489
native-static,strong,1,1,,1024,5,141.871
native-static,strong,2,2,,1024,5,95.312
native-static,strong,4,4,,1024,5,77.064
native-static,strong,8,8,,1024,5,64.448
native-static,strong,16,16,,1024,5,104.233
native-static,strong,32,32,,1024,5,103.33
