num_clients,variant,throughput_mean,throughput_stdev,latency_mean,latency_stdev,speedup_throughput,speedup_latency,efficiency_throughput,efficiency_latency
1,jvm-gramine,855.21,415.66,1.50,0.71,0.1094,,0.1094,
2,jvm-gramine,149.45,16.43,1.00,0.00,0.8463,,0.4231,
4,jvm-gramine,172.46,51.98,12.67,8.96,0.5287,,0.1322,
8,jvm-gramine,194.08,9.01,25.33,2.31,0.3567,0.0395,0.0446,0.0049
16,jvm-gramine,154.79,2.58,49.00,1.00,0.3052,0.0408,0.0191,0.0026
1,jvm-local,7814.70,159.93,,,1.0000,,1.0000,
2,jvm-local,176.60,0.64,,,1.0000,,0.5000,
4,jvm-local,326.20,1.51,,,1.0000,,0.2500,
8,jvm-local,544.04,7.40,1.00,0.00,1.0000,1.0000,0.1250,0.1250
16,jvm-local,507.18,20.06,2.00,0.00,1.0000,1.0000,0.0625,0.0625
1,native-dynamic,5730.66,3774.90,,,0.7333,,0.7333,
2,native-dynamic,160.68,17.77,2.00,0.00,0.9099,,0.4549,
4,native-dynamic,321.58,0.61,,,0.9858,,0.2465,
8,native-dynamic,541.04,3.25,1.00,0.00,0.9945,1.0000,0.1243,0.1250
16,native-dynamic,498.06,17.18,2.00,0.00,0.9820,1.0000,0.0614,0.0625
1,native-static,5000.00,0.00,,,0.6398,,0.6398,
2,native-static,176.96,0.95,,,1.0021,,0.5010,
4,native-static,322.97,1.32,,,0.9901,,0.2475,
8,native-static,549.92,7.71,1.00,0.00,1.0108,1.0000,0.1264,0.1250
16,native-static,494.05,8.98,2.00,0.00,0.9741,1.0000,0.0609,0.0625
